T85,1721855998_1,
T85,1721856010_1,
T85,1721856031_1,
T85,1721858867_1,
T85,1721859156_1,
T85,1721859165_1,
T85,1721859173_1,
T85,1721859182_1,
T85,1721859191_1,
T85,1721859199_1,
T85,1721859208_1,
T85,1721859216_1,
T85,1721859225_1,
T85,1721859233_1,
T85,1721859242_1,
T85,1721859250_1,
T85,1721859259_1,
T85,1721859267_1,
T85,1721859276_1,
T85,1721859284_1,
T85,1721859293_1,
T85,1721859302_1,
T85,1721859310_1,
T85,1721859319_1,
T85,1721859327_1,
T85,1721859362_1,
T85,1721859649_1,
T85,1721859658_1,
T85,1721859666_1,
T85,1721859675_1,
T85,1721859684_1,
T85,1721859692_1,
T85,1721859701_1,
T85,1721859709_1,
T85,1721859718_1,
T85,1721859726_1,
T85,1721859735_1,
T85,1721859743_1,
T85,1721859752_1,
T85,1721859760_1,
T85,1721859769_1,
T85,1721859777_1,
T85,1721859786_1,
T85,1721859795_1,
T85,1721859803_1,
T85,1721859812_1,
T85,1721859820_1,
T85,1721859857_1,
T85,1721860146_1,
T85,1721860169_1,
T85,1721860192_1,
T85,1721860216_1,
T85,1721860239_1,
T85,1721860262_1,
T85,1721860313_1,
T85,1721860599_1,
T85,1721860608_1,
T85,1721860616_1,
T85,1721860625_1,
T85,1721860634_1,
T85,1721860642_1,
T85,1721860651_1,
T85,1721860668_1,
T85,1721860676_1,
T85,1721860685_1,
T85,1721860693_1,
T85,1721860702_1,
T85,1721860710_1,
T85,1721860719_1,
T85,1721860727_1,
T85,1721860736_1,
T85,1721860745_1,
T85,1721860753_1,
T85,1721860762_1,
T85,1721860770_1,
T85,1721860807_1,
T85,1721861079_1,
T85,1721861579_1,
T85,1721861637_1,
T85,1721861695_1,
T85,1721861753_1,
T85,1721861811_1,
T85,1721861869_1,
T85,1721861927_1,
T85,1721861985_1,
T85,1721862043_1,
T85,1721862101_1,
T85,1721862159_1,
T85,1721862217_1,
T85,1721862275_1,
T85,1721862333_1,
T85,1721862391_1,
T85,1721862449_1,
T85,1721862527_1,
T86,1727355885_1,
T86,1727371868_1,
T88,1732865471_1,
T88,1732865771_1,
T88,1732865970_1,
T88,1732866681_1,
T88,1732866880_1,
T88,1732867561_1,
T88,1732867760_1,
T88,1732874352_1,
T88,1732874609_1,
T88,1732874659_1,
T88,1732874708_1,
T88,1732874758_1,
T88,1732874783_1,
T88,1732874807_1,
T88,1732874832_8,
T88,1732874866_1,
T88,1732875312_1,
T88,1732875761_1,
T88,1732876173_1,
T88,1732876622_1,
T88,1732877058_1,
T88,1732877441_1,
T88,1732877802_1,
T88,1732879618_1,
T88,1732880164_1,
T88,1732880676_1,
T88,1732881224_1,
T88,1732881586_1,
T88,1732882196_1,
T88,1732882767_1,
T90,1743884641_1,
T90,1743884712_1,
T90,1743884941_1,
T90,1743887258_1,
T90,1743888231_1,
T90,1743888275_1,
T90,1743888318_1,
T90,1743888362_1,
T90,1743888405_1,
T90,1743888449_1,
T90,1743888492_1,
T90,1743888536_1,
T90,1743888579_1,
T90,1743888623_1,
T90,1743888666_1,
T90,1743888710_1,
T90,1743888753_1,
T90,1743888797_1,
T90,1743888840_1,
T90,1743888883_1,
T90,1743888927_1,
T90,1743888970_1,
T90,1743889014_1,
T90,1743889057_1,
T90,1743889101_1,
T90,1743889144_1,
T90,1743889188_1,
T90,1743897492_1,
T90,1743898211_1,
T90,1743901868_1,
T92,1752162115_3,
T92,1752162850_1,
T92,1752163532_1,
T92,1752164252_1,
T92,1752165292_1,
T92,1752172039_1,
T92,1752172360_1,
T92,1752173200_1,
T92,1752173388_1,
T92,1752173576_1,
T93,1753526378_1,
T93,1753535313_1,
T93,1753536201_1,
T93,1753537175_1,
T93,1753547074_1,
T94,1757667322_1,
T94,1757667769_1,
T94,1757668833_1,
T94,1757668883_1,
T94,1757668932_1,
T94,1757668982_1,
T94,1757669031_1,
T94,1757669081_1,
T94,1757669130_1,
T94,1757669180_1,
T94,1757669229_1,
T94,1757669279_1,
T94,1757669328_1,
T94,1757669378_1,
T94,1757669427_1,
T94,1757669477_1,
T94,1757669526_1,
T94,1757669576_1,
T94,1757669625_1,
T94,1757669675_1,
T94,1757669724_1,
T94,1757669774_1,
T94,1757669823_1,
T94,1757669873_1,
T94,1757669922_1,
T94,1757669971_1,
T94,1757670021_1,
T94,1757670070_1,
T94,1757670120_1,
T94,1757670169_1,
T94,1757670219_1,
T94,1757671180_1,
T94,1757671772_1,
T94,1757672350_1,
T96,1764534076_1,
T96,1764557902_1,
T96,1764559402_1,
T97,1767312723_1,
T97,1767313307_1,
T97,1767313848_1,
T97,1767314425_1,
T100,1775564987_1,
T103,1784537281_1,
T103,1784539868_1,
T103,1784541448_1,
T104,1787311929_1,
T104,1787319057_1,
T105,1790050280_1,
T105,1790050948_1,
T105,1790051590_1,
T105,1790052268_1,
T105,1790053570_1,
T105,1790056808_1,
T105,1790063645_1,
T105,1790064525_1,
T105,1790065425_1,
T105,1790066425_1,
T108,1799691002_1,
T108,1799691622_1,
T109,1802447813_1,
T109,1802448346_1,
T109,1802448901_1,
T109,1802449441_1,
T109,1802449988_1,
T109,1802450543_1,
T109,1802451091_1,
