,3.812,0.009,3.806,0.008,
,3.770,0.007,3.790,0.007,
,3.760,0.011,3.754,0.011,
,3.787,0.003,3.528,0.005,
,3.752,0.004,3.633,0.010,
,3.650,0.012,3.558,0.012,
,3.777,0.007,3.589,0.013,
,3.748,0.007,3.735,0.010,
,3.764,0.009,3.702,0.011,
,3.710,0.018,3.812,0.006,
,3.754,0.008,3.628,0.013,
,3.697,0.009,3.679,0.006,
,3.627,0.021,3.611,0.015,
,3.751,0.008,3.526,0.013,
,3.740,0.008,3.599,0.012,
,3.803,0.014,3.773,0.016,
,3.686,0.006,3.721,0.019,
,3.764,0.009,3.713,0.010,
,3.742,0.008,3.509,0.013,
,3.716,0.008,3.617,0.050,
,3.721,0.015,3.674,0.006,
,3.753,0.005,3.555,0.012,
,3.760,0.008,3.745,0.012,
,3.702,0.013,3.671,0.012,
,3.728,0.006,3.716,0.006,
,3.749,0.011,3.716,0.008,
,3.775,0.003,3.777,0.003,
,3.780,0.003,3.775,0.003,
,3.726,0.016,3.708,0.017,
,3.789,0.009,3.785,0.011,
,3.677,0.014,3.625,0.019,
,3.787,0.009,3.759,0.009,
,3.793,0.005,3.745,0.006,
,3.772,0.012,3.744,0.012,
,3.785,0.008,3.682,0.011,
,3.623,0.020,3.618,0.025,
,3.790,0.007,3.774,0.008,
,3.784,0.009,3.772,0.010,
,3.699,0.017,3.627,0.021,
,3.574,0.004,3.562,0.004,
,3.623,0.010,3.596,0.012,
,3.796,0.005,3.701,0.008,
,3.624,0.021,3.611,0.021,
,3.628,0.010,3.613,0.012,
,3.593,0.014,3.581,0.015,
,3.582,0.011,3.582,0.011,
,3.605,0.006,3.626,0.006,
,3.572,0.012,3.558,0.012,
,3.593,0.011,3.581,0.011,
,3.522,0.013,3.515,0.013,
,3.572,0.006,3.560,0.006,
,3.518,0.003,3.478,0.003,
,3.539,0.022,3.521,0.022,
,3.504,0.015,3.491,0.015,
,3.500,0.021,3.495,0.021,
,3.528,0.005,3.509,0.006,
,3.513,0.012,3.494,0.015,
,3.486,0.024,3.470,0.023,
,3.515,0.013,3.513,0.013,
,3.510,0.005,3.501,0.005,
,3.496,0.010,3.494,0.014,
,3.492,0.014,3.492,0.014,
,3.476,0.014,3.477,0.012,
,3.483,0.011,3.483,0.011,
