System,Mass1,Error,Mass2,Error,Radius1,Error,Radius2,Error,SOURCE:https://www.astro.keele.ac.uk/jkt/debcat/
KIC 8410637,1.472,0.01,1.309,0.014,10.596,0.04,1.556,0.01,
DM Vir,1.454,0,1.448,0.008,1.763,0.01,1.763,0.017,
ASAS J073507-0905.7,1.452,0.03,0.808,0.013,1.635,0.01,0.819,0.011,
OGLE-LMC-ECL-15260,1.449,0.01,1.422,0.016,23.22,0.4,42.2,0.92,
V57 Per,1.4489,0.006,1.3495,0.0062,1.538,0.03,1.349,0.032,
NN Del,1.4445,0.002,1.3266,0.0021,2.194,0.01,1.608,0.014,
CD Tau,1.442,0.01,1.368,0.016,1.798,0.01,1.584,0.02,
OGLE-SMC-ECL-0970,1.44,0,1.42,0.01,18.4,0,21.1,0.2,
ASAS J090232-5653.4,1.436,0.01,1.372,0.018,1.527,0,1.392,0.007,
BG Ind,1.432,0.02,1.315,0.025,2.339,0.01,1.592,0.033,
GK Dra,1.421,0.01,1.775,0.028,1.775,0.02,2.859,0.028,
ASAS J163903-2847.2,1.421,0,1.141,0.002,2.157,0,1.224,0.004,
V50 Oph,1.415,0.01,1.402,0.009,1.725,0.01,1.692,0.012,
AD Boo,1.414,0,1.209,0.006,1.612,0.01,1.216,0.01,
BF Dra,1.414,0,1.375,0.003,2.086,0.01,1.922,0.012,
BK Peg,1.414,0,1.257,0.005,1.988,0,1.474,0.017,
KIC 6864859,1.411,0.02,1.354,0.028,1.655,0.01,1.455,0.012,
BN Scl,1.4067,0.002,1.2439,0.0015,1.834,0,1.38,0.009,
VZ Cep,1.402,0.01,1.1077,0.0083,1.534,0.01,1.042,0.039,
V120 Cen,1.393,0.01,0.8633,0.0081,1.407,0.01,1.154,0.014,
KIC 9540226,1.39,0.03,1.015,0.016,13.43,0.1,1.034,0.014,
KIC 5193386,1.386,0.03,1.152,0.02,4.505,0.03,1.319,0.009,
AN Cam,1.38,0.02,1.402,0.025,2.159,0.01,2.646,0.014,
NGC 714 V1,1.377,0,1.377,0.009,1.616,0,1.613,0.005,
ASAS J052821+0338.5,1.375,0.01,1.329,0.008,1.83,0,1.73,0.01,
BW Aqr,1.373,0.01,1.469,0.018,1.7332,0.008,2.0708,0.004,
V114 Cyg,1.361,0,1.332,0.004,1.348,0.01,1.322,0.016,
ASAS J171750-1915.3,1.3571,0.002,1.3452,0.0032,1.676,0,1.648,0.006,
RU Cnc,1.347,0.01,1.415,0.007,2.188,0.04,4.939,0.073,
AQ Ser,1.346,0.02,1.417,0.022,2.281,0.01,2.451,0.027,
HD 22064,1.345,0.03,0.576,0.01,1.554,0.01,0.595,0.008,
LX Mus,1.3433,0,1.3544,0.0007,1.345,0.008,1.3959,0.007,
RT CrB,1.343,0.01,1.359,0.009,2.615,0.04,2.946,0.051,
UZ Dra,1.34,0,1.23,0.02,1.31,0,1.15,0.02,
ASAS J085002+1752.5,1.326,0,1.573,0.003,1.571,0.02,3.222,0.042,
IT Cas,1.3244,0.009,1.3218,0.008,1.5552,0.004,1.5513,0.0045,
NP Per,1.3207,0.008,1.0456,0.0046,1.372,0.01,1.229,0.013,
FM Leo,1.3144,0,1.2703,0.0004,1.6245,0.002,1.5082,0.0029,
CPD -5 810,1.3084,0.005,1.0896,0.0034,1.9288,0.003,1.1815,0.0037,
V33 Vir,1.3074,0.002,1.5148,0.0021,1.5329,0.009,2.3651,0.0093,
TIC 193993801,1.306,0.01,1.189,0.018,1.692,0.01,1.304,0.017,
V113 Tau,1.306,0,1.392,0.008,1.489,0.01,1.782,0.011,
CO And,1.2892,0.007,1.2643,0.0073,1.727,0.02,1.694,0.017,
V45 Aur,1.2887,0.006,1.2316,0.005,1.389,0.01,1.318,0.014,
V37 Cep,1.288,0.01,0.871,0.008,1.623,0,0.897,0.003,
V106 Cyg,1.282,0.01,0.9315,0.0068,1.615,0.01,0.974,0.02,
CF Tau,1.282,0,1.251,0.011,2.797,0.01,2.048,0.016,
KIC 7821010,1.277,0.01,1.221,0.016,1.276,0.01,1.21,0.014,
AP And,1.277,0.004,1.251,0.0042,1.2335,0.006,1.1954,0.0053,
V50 Per,1.2745,0.003,1.2577,0.003,1.2941,0.001,1.2637,0.0017,
VZ Hya,1.271,0,1.146,0.007,1.314,0,1.112,0.007,
CQ Ind,1.2694,0.001,1.1293,0.0012,1.4097,0.003,1.1268,0.0056,
V215 Cyg,1.269,0.01,0.7542,0.0059,1.477,0.01,0.7232,0.0091,
V50 Her,1.269,0.003,1.2113,0.0032,2.0017,0.003,1.5112,0.0027,
HS Hya,1.2552,0.007,1.2186,0.007,1.2747,0.007,1.2161,0.0071,
KIC 8430105,1.254,0.01,0.8134,0.005,7.475,0.03,0.7494,0.0041,
KIC 5359678,1.252,0.01,1.065,0.013,1.449,0.01,1.048,0.017,
KIC 5288543,1.251,0.01,0.947,0.01,1.6208,0.003,0.9272,0.0032,
EF Aqr,1.244,0,0.946,0.006,1.338,0.01,0.956,0.012,
TIC 172900988,1.2377,0,1.2021,0.0008,1.3827,0.002,1.3141,0.0013,
WOCS 40007,1.236,0.02,1.086,0.018,1.399,0,1.098,0.004,
WZ Oph,1.227,0,1.22,0.006,1.401,0.01,1.419,0.012,
KIC 3439031,1.2258,0.002,1.2274,0.0028,1.4072,0.002,1.403,0.0025,
UX Men,1.2229,0.001,1.1878,0.0015,1.347,0.01,1.274,0.013,
Kepler-1647,1.2207,0.011,0.9678,0.0039,1.7903,0.005,0.9663,0.0057,
FL Lyr,1.2102,0.007,0.9512,0.0039,1.244,0.02,0.9,0.024,
LL Aqr,1.1959,0,1.0337,0.0007,1.321,0,1.002,0.005,
KIC 2306740,1.194,0,1.078,0.007,1.682,0,1.226,0.005,
