CM_1554953055_1,T28,Lo,
CM_1554953368_1,T28,Lo,
CM_1554958581_1,T28,Lo,
CM_1554958850_1,T28,Lo,
CM_1554958951_1,T28,Lo,
CM_1554959220_1,T28,Lo,
CM_1554962651_1,T28,Lo,
CM_1554962920_1,T28,Lo,
CM_1554963021_1,T28,Lo,
CM_1554963290_1,T28,Lo,
CM_1554963391_1,T28,Lo,
CM_1554963660_1,T28,Lo,
CM_1554963761_1,T28,Lo,
CM_1554964030_1,T28,Lo,
CM_1554964131_1,T28,Lo,
CM_1554964400_1,T28,Lo,
CM_1554968128_1,T28,Lo,
CM_1554968422_1,T28,Lo,
CM_1554968463_1,T28,Lo,
CM_1554968504_1,T28,Lo,
CM_1559076444_1,T31,Med,
CM_1560454320_1,T32,Med,
CM_1560454777_1,T32,Med,
CM_1561833549_1,T33,Med,
CM_1561834020_1,T33,Med,
CM_1567228388_1,T35,Med,
CM_1567229149_1,T35,Med,
CM_1567229818_1,T35,Med,
CM_1567230467_1,T35,Med,
CM_1567236078_1,T35,Ex,
CM_1567236713_1,T35,Ex,
CM_1567238121_1,T35,Med,
CM_1569968564_1,T36,Lo,
CM_1570013750_4,T36,Med,
CM_1570016613_1,T36,Lo,
CM_1575488798_1,T38,Lo,
CM_1575531107_1,T38,Lo,
CM_1575531347_1,T38,Lo,
CM_1575531493_1,T38,Lo,
CM_1578291419_1,T40,Lo,
CM_1578292004_1,T40,Lo,
CM_1578292609_1,T40,Lo,
CM_1582404039_1,T41,Lo,
CM_1585154931_1,T42,Med,
CM_1620241698_1,T54,Lo,
CM_1620241832_1,T54,Lo,
CM_1620241967_1,T54,Lo,
CM_1620242101_1,T54,Lo,
CM_1620242235_1,T54,Lo,
CM_1620242370_1,T54,Lo,
CM_1620242504_1,T54,Lo,
CM_1620242638_1,T54,Lo,
CM_1620242772_1,T54,Lo,
CM_1620242907_1,T54,Lo,
CM_1620243041_1,T54,Lo,
CM_1620243175_1,T54,Lo,
CM_1620243310_1,T54,Lo,
CM_1620243444_1,T54,Lo,
CM_1620243578_1,T54,Lo,
CM_1620249688_1,T54,Med,
CM_1620253286_1,T54,Med,
CM_1620253319_1,T54,Med,
CM_1620253352_1,T54,Med,
CM_1620253384_1,T54,Med,
CM_1621625445_1,T55,Lo,
CM_1625758797_1,T58,Med,
CM_1625759493_1,T58,Med,
CM_1625760170_1,T58,Med,
CM_1627127873_1,T59,Lo,
CM_1627130993_1,T59,Lo,
CM_1629912119_1,T61,Lo,
CM_1629912413_1,T61,Lo,
CM_1629913485_1,T61,Lo,
CM_1629914314_1,T61,Lo,
CM_1629916783_1,T61,Lo,
CM_1640640558_1,T64,Lo,
CM_1640640781_1,T64,Lo,
CM_1640641005_1,T64,Lo,
CM_1640641229_1,T64,Lo,
CM_1640641452_1,T64,Lo,
CM_1640641676_1,T64,Lo,
CM_1640641900_1,T64,Lo,
CM_1640642123_1,T64,Lo,
CM_1640645644_1,T64,Med,
CM_1640646309_1,T64,Med,
CM_1640646959_1,T64,Med,
CM_1640647624_1,T64,Med,
CM_1640665986_1,T64,Lo,
CM_1640667320_1,T64,Lo,
CM_1649168886_1,T67,Med,
CM_1649169257_1,T67,Med,
CM_1649170021_1,T67,Med,
CM_1649170981_1,T67,Med,
CM_1649171352_1,T67,Med,
CM_1649172668_1,T67,Med,
CM_1649172733_1,T67,Med,
CM_1649172799_1,T67,Med,
CM_1649172864_1,T67,Med,
CM_1649172929_1,T67,Med,
CM_1649172994_1,T67,Med,
CM_1649173059_1,T67,Med,
CM_1649173124_1,T67,Hi,
CM_1649173189_1,T67,Hi,
CM_1649173255_1,T67,Hi,
CM_1649173320_1,T67,Hi,
CM_1649173385_1,T67,Hi,
